"","title","artist","year","lyrics","id"
"102","Til Im Brave","Big Thief",2021,"[Verse 1]
'Til I'm brave enough to call you
I just fall through every time
I wish I'd waved when I saw you
Just watch you passing by

[Chorus]
So much coming through, every hour too
Can't get enough of you
You come around, I'm ruined
You come around, I'm ruined

[Verse 2]
And you gave me no answers
And you asked me no lies
You just gave me an amethyst
From your jewel glass as you cried

[Chorus]
So much coming through, every hour too
Can't get enough of you
You come around, I'm ruined
You come around, I'm ruined
So much coming through, every hour too
Can't get enough of you
You come around, I'm ruined
You come around, I'm ruined
[Verse 3]
And we shared in the basement
As the fern bent to the window
And we drew to lightning
As the water soaked the pillow

[Chorus]
So much coming through, every hour too
Can't get enough of you
You come around, I'm ruined
You come around, I'm ruined
So much coming through, every hour too
Can't get enough of you
You come around, I'm ruined
You come around, I'm ruined",7327463
"103","No Reason","Big Thief",2021,"[Verse 1]
Been pulling through
Since the last time I touched you
Making due with an internet signal
Calling for the delivery to the front door

[Chorus]
There is no reason to believe
No reason at all
Come together for a moment, look around and dissolve
Like a feeling, like a flash
Like a fallen eyelash
On your sweater, threading future through the past

[Verse 2]
City of salt bone and bell tower
Country of ice rain and wildflower
Picking out the wreath for the funеral and

[Chorus]
There is no reason to bеlieve
No reason at all
Come together for a moment, look around and dissolve
Like a feeling, like a flash
Like a fallen eyelash
On your sweater, threading future through the past
[Instrumental Break]

[Chorus]
There is no reason to believe
No reason at all
Come together for a moment, look around and dissolve
Like a feeling, like a flash
Like a fallen eyelash
On your sweater, threading future through the past

[Outro]
There is no reason to believe
Come together
Like a feeling, like a flash
Come together",7346877
"104","Blue Lightning","Big Thief",2022,"[Intro]
One
One, two, one, two

[Verse 1]
Blue lightning was an autograph signing up the sky
To the question that I had to ask, she only answered, """"Why?""""
Angelia took the photograph, the moment had to die
Years later, like an epitaph, we read it and we cry
This morning, I went to have a bath, the water ran dry
Clear warning, has it come at last, the time to say goodbye?
Can we make love? Can we hold fast? I really wanna try

[Chorus]
Two-eyed lie, is it fight or fly?
I wanna be the shoelace that you tie
'Til the end, will you be my friend?
I wanna be the wrinkle in your eye
Yeah, I wanna be the vapor gets you high

[Verse 2]
Blue heron, now you're scaring me, you circle and dive
Blue angel, yeah, you're in my dreams, swearing every night
And a spider just beside her, larger than a hill
And it's plain to see if she don't comfort me, the rattlesnake will
[Chorus]
Two-eyed lie, is it fight or fly?
I wanna be the wrinkle in your eye
'Til the end, will you be my friend?
I wanna be the shoelace that you tie
Yeah, I wanna be the vapor gets you high

[Chorus]
Two-eyed lie, is it fight or fly?
I wanna be the shoelace that you tie
'Til the end, will you be my friend?
I wanna be the mountain, kiss the sky
Yeah, I wanna be the vapor gets you high
Yeah, I wanna feel so happy that I cry
Yeah, I wanna be the shoelace that you tie
Yeah, I wanna live forever 'til I die
Yeah, I wanna live forever 'til I die
Yeah, I

[Outro]
Hmm
Gorgeous set, okay, what should we do now?",7346878
"105","Love Love Love","Big Thief",2022,"[Intro]
-ight is l-

[Verse 1]
I already died
I'm singing from the other side
Underneath love
Avoidance and pride
I look you in the face and lie
I tell you I want your love
You're the cigarette in my fist
You are so hard to resist
I can't help but breathe your love
When I'm scared to die alone
That's when I call you on the phone
I tell you that I need your love

[Chorus]
Oh, love, love, love
Love, love, love, love
Love, love, love
[Verse 2]
Oh, frailty and fragile words
You tell me a lot of words
You tell me all about your love
And I feel what I hear you say
I don't talk the same way
'Cause that don't feel like love
As the dog opens his eyes
As the blue crow flies
I'm going to meet my love
I already died
I'm calling from the other side
Underneath love
There's a bottle out in the sea
With a message inside from me
Saying, """"Release my love""""

[Chorus]
Release my love, my love
I'm dreaming of release, my love
Release my love, my love
Release my love
Release my love

[Break]
[Verse 3]
It's a moving operation
I'm getting off at this station
I'm leaving your love
I'm scared to die alone
I call you on the phone
Watch me bleed your love

[Chorus]
Oh, love, love, love
Love, love, love, love
Love, love, love, love
Love, love, love
Love, love, love
Love, love, love
Love, love, love
Love, love, love, love, love
Love, love, love, love

[Outro]
Release my love, my love
Release my love, my love
Release my love
Release my love, my love
Release my love, my love
Release my love",7346879
"106","Dragon New Warm Mountain I Believe In You Tucson","Big Thief",2022,"[Intro: Buck Meek]
One, two, three, four

[Verse 1: Adrianne Lenker]
It's a little bit magic
Like a river of mornin' geese
In the new warm mountain
Where the stone face forms and speaks

[Pre-Chorus: Adrianne Lenker]
I believe in you
Even when you need to
Recoil

[Verse 2: Adrianne Lenker]
When the topsoil
Is kicking up into the storm
And the dust goes dancing, na-na
And a billion planets are born

[Pre-Chorus: Adrianne Lenker]
I believe in you
Even when you need to
Recoil
Ooo
[Chorus: Buck Meek]
Just like that
The moon goes flat
Big lights in the city shine
Crying out
Take me to the limits of your love

[Instrumental Break]

[Verse 3: Adrianne Lenker & Buck Meek]
Therе's a dragon in the phone line
Coughing up a mighty flamе
With a tongue of silver (Silver)
Calling out my oldest name

[Pre-Chorus: Adrianne Lenker]
She says, """"Hey, you
Do you remember me too?""""
We were coiling
Ooo

[Chorus: Buck Meek]
Just like that
The moon goes flat
Big lights in the city shine
Crying out
Take me to the limits of your love
[Instrumental Break]

[Outro: Adrianne Lenker, Buck Meek, & Both]
It's a little bit magic
Magic
It's a little bit magic
Magic (Magic)
Little bit magic
Magic
Ma-ma-ma-ma-ma-ma-ma-ma-magic (Magic)
Ma-ma-ma-ma-ma-ma (Ma, oh)
Ma-ma-ma-ma-magic (Oh, oh, oh)
Ma-ma-ma-ma-magic (Oh)
Ma-ma-ma-ma-magic (Oh, oh)
Ma, ma, oh (Oh)
Oh Oh
Oh
La-ba-du-ba (Ba-ba-du-ba)
Little bit magic (Little bit magic)
Little bit magic (Little bit magic)
Little bit magic (Little bit magic)
A little bit ma- (Little bit magic)
A little bit magic
A little bit magic
A little bit magic
A little bit magic
A little bit magic
A little bit magic",7568664
"107","Light Is As Is","Big Thief",2022,"[Verse 1]
Same old words
I can hear the birds talk to me through them
I can hear the birds talk to me through them
Light is light, is light, is light, is light
Light is light, is light, is light

[Verse 2]
I wait
I can see her looking at me sideways
Headlight, headlight, headlight, headlight, headlight (Ooh)
Headlight, headlight, headlight, headlight

[Verse 3]
I visit the waterfall, early spring
Ring rises high forewarning
Light is light, is light, coyotes roaming
Look who's laughing now
Look who's laughing now

[Verse 4]
Wind in my hands, wind in my wings
""""May I have this dance?"""" she sings
True romance
Light is light, is light, is light, is light",7568665
"108","Anything Goes","Big Thief",2022,"Lyrics From Snippet:

[Verse 1]
She only smokes late at night
When the owls howl and the bat's in flight
Wipin' down tables and chairs
Savin' up for the airplane fare

[Chorus]
Say that anything goes
And if anything goes then
Maybe I'll go with you
If there is a way out
Where it is sunny up north
And it's sunny up north

[Verse 2]
We can dress up our friend
And go out spinning with everyone
Susan had a lot to say
'Bout the rude boys that she slept there with
[Chorus]
Say that anything goes
And if anything goes and then
Maybe I'll go with you
If there is a way out
Where it is sunny up north
And it's sunny up north

And when you leave, sometimes I
As you open your mouth
And you ...",7569819
"109","Forgiver","Big Thief",2022,"[Chorus]
There's a black crow flying up the river
It's a long way back downhill
Will the silence be forgiver?
Maybe time will tell

[Verse 1]
Your daddy wants you to love him
Wants you to love a man
If you keep your arms around me
It could ruin the plan
So you draw a line between us
When to stop and when to start
We come together
And then you pull us apart

[Chorus]
There's a black crow flying up the river
It's a long way back downhill
Will the silence be forgiver?
Maybe time will tell
[Verse 2]
Chicago couldn't hold you
New York City, your childhood home
California
You found a place to live alone
And your mamma wants you to hold hеr
She wants you to take her hand
Talk to hеr
She'll come to understand

But because of fear, because of fear you draw the line between us
You say when to stop and when to start
We come together
And then you take us apart
And your daddy, your daddy he wants you to love him
By loving a man
And if you, if you keep your arms around me
It could ruin the plan

[Chorus]
There's a black crow flying up the river
It's a long way back downhill
Will the silence be forgiver?
Maybe time will tell

[Instrumental bridge]
[Outro]
There's a black crow flying up the river
It's a long way back downhill",7740395
"110","Happy With You","Big Thief",2022,"[Chorus]
I'm happy with you, happy with you, happy with you, happy with you, happy with you, happy with you
Why do I need to explain myself?
I'm happy with you, happy with you, happy with you, happy with you, happy with you, happy with you
Why do I need to explain myself?

[Refrain]
Poison shame
Poison shame
Poison shame
Poison shame
Poison shame
Poison shame
Poison shame
Poison shame
Poison shame
Poison shame
Poison

[Chorus]
I'm happy with you, happy with you, happy with you, happy with you, happy with you, happy with you
Why do I need to explain myself?
I'm happy with you, happy with you, happy with you, happy with you, happy with you, happy with you
Why do I need to explain myself?
[Refrain]
Poison shame
Poison shame
Poison shame
Poison shame
Poison shame
Poison shame
Poison shame
Poison shame
Poison shame
Poison shame
Poison shame
Poison shame
Poison

[Chorus]
I'm happy with you, happy with you, happy with you, happy with you, happy with you, happy with you
Why do I need to explain myself?
I'm happy with you, happy with you, happy with you, happy with you, happy with you, happy with you
Why do I need to explain myself?

[Refrain]
Poisonous shame
Poisonous shame
Poisonous shame
Poisonous shame
Poisonous shame
Poisonous shame
Poisonous shame
Poisonous shame
Poisonous shamе
Poisonous shame
Poisonous shame
Poisonous shame
Poison
[Chorus]
I'm happy with you, happy with you, happy with you, happy with you, happy with you, happy with you
Why do I need to еxplain myself?
I'm happy with you, happy with you, happy with you, happy with you, happy with you, happy with you
Why do I need to explain myself?

[Refrain]
Poison shame
Poison shame
Poison shame
Poison shame
Poison shame
Poison shame
Poison shame
Poison shame
Poison shame
Poison shame
Poison shame
Poison shame",7750766
"111","Wait A While","Big Thief",2022,"[Verse 1]
The sky is blue with star-shine
Nothing to do that won't hurt to ease my mind
Just thinking of you in the sunshine
Do you think of me too? Does it hurt, or are you feeling fine?

[Chorus]
Wait a while, wait a while, Hillary
Wait a while, wait a while, Hillary

[Verse 2]
In my dream last night I was dying
Only one part could come to life again
The portal door opened
I chose my heart, though it was broken

[Chorus]
Wait a while, wait a while, Hillary
Wait a while, wait a while, Hillary
Wait a while, wait a while, Hillary
[Verse 3]
On a day as bright as velvet
High in the deep, a ghost with a matchstick
Told me a secret
I tell you now that I swore to keep it

[Chorus]
Wait a while, wait a while, Hillary
Wait a while, wait a while, Hillary
Wait a while, wait a while, Hillary

[Verse 4]
The sky is blue with star-shine
Nothing to do that won't hurt to ease my mind
Just thinking of you in the sunshine
Do you think of me too? Does it hurt, or are you feeling fine?",7752391
"112","Someone 2","Big Thief",2022,"Lyrics From Snippet:

[Verse]
It sort of sounded like you had something to say
But the child inside you had pushed it away
I don't wanna stay, I don't wanna leave
And the father in you is lured to the sea
Could you come forgive me, naked angry and high
Oh as long as",7775634
"113","Day By Day","Big Thief",2022,"Lyrics From Snippet:

Day by day
The moon just sails away
The moon and sun are the keepers of the weather

I don't know what I'd do
Don't know what I'd do with you
Don't know where I'd go


Lighter than a feather",7775728
